"Sample","AMA1_IgG1","pp28_IgG1","Schisto_IgG1","pp65_IgG1","BSA_IgG1","MSP1_IgG1","HRPII_IgG1","CelTos_IgG1","CSP_IgG1","PfGarp_IgG1"
"Background0",229.75,15.5,-13.5,6,45,12.5,119,16,348.5,145
"HCAM-001",87.5,8.25,11.5,5,16,4.75,46,4,126,61.5
"Healthy-control-negative",149.5,7,4,7,26,7.5,79.5,6,233.25,104.25
"RAC-001-T01",664,1652,-3,-1,33,16,181,29,210.5,74
"RAC-002-T01",5617.5,28,13,2,15,2522.5,617,13,148,50
"RAC-002-T07",290,321.5,21,203,10,9,44.5,8,29843,17
"RAC-002-T08",278,565.5,19,218,10,8,49,20,29162,19
"RAC-005-T01",8002,38,-31.5,-9.5,64,2580,134,37,147,77
"RAC-005-T08",553,41,9,3.5,20,341.5,117.5,9,9961.5,72
"RAC-007-T01",2239,2589,10,3,22,105,95,10.5,149,70
"RAC-007-T07",89,945,17.5,2,12,7,50,7.5,27299,18
"RAC-007-T08",171,857,27,7,17,11,106,67,26504,126
"RAC-008-T01",4255,25,0,-1,29,13,67.5,17,210.5,67
"RAC-008-T07",537.5,11,16,28.5,11,7,58,7.5,25133,20
"RAC-008-T08",275.5,14,12,136,14,6,78,6,6946,37
"RAC-009-T01",5064,13,2.5,1,32,21,932,22,130,82
"RAC-009-T07",314.5,11,13.5,15,16,7,85.5,17,27890,28
"RAC-009-T08",171,9,0,6,35,14,135,52,7858,130
"RAC-010-T01",2299,27.5,-18,115.5,55,4,109,37,195,88
"RAC-010-T07",86,9,8,23,21,12,44,9,27635,50
"RAC-010-T08",99,10,7,209,26,14,70,17,10461.5,85
"RAC-011-T01",297,44.5,-78,55,125,-26,86,97,255,38.5
"RAC-011-T07",75,702,11,21,18,12.5,60.5,6,25801.5,48
"RAC-011-T08",100,1087,8,13,21,12,63,9,10877,66
"RAC-012-T01",340,82.5,-79,78,131,-18,81,122.5,250,30
"RAC-012-T07",79,10,-13,128,48,-4,44,31,23777,9.5
"RAC-012-T08",90,9,13.5,12,23,3,55,21,8618,50.5
"RAC-013-T01",1564,28,-120,-36.5,152,-41.5,54,89.5,209,-28
"RAC-013-T07",92,830.5,10.5,26.5,19.5,6.5,48.5,26.5,23502.5,27.5
"RAC-013-T08",120,857,10,4,25,7,95,16,7548,83
"RAC-015-T01",1198.5,96.5,-173,77.5,209.5,124.5,194,94,198,-26.5
"RAC-015-T07",138.5,8117.5,-59.5,41,92.5,-13.5,97.5,81.5,22996.5,-2
"RAC-015-T08",151.5,4521,-48,-23,82,-7,85,49.5,12451,35.5
"RAC-016-T01",1877,20,-11,-9,42,4009,198,41,150,48
"RAC-016-T07",606,371,11,54,18,1439,78,15,23768,33
"RAC-016-T08",256.5,2125,9,49,18,891.5,81.5,50,7423,66
"RAC-017-T01",734,4709,12,9.5,19,12,47,7,131,59
"RAC-017-T07",43,2933,16,13,12,18,37,17,23102,25
"RAC-017-T08",315,1616,3,8,32,15,131,16,9812,180.5
"RAC-018-T01",338,1678,-4,6,38,9,102.5,22,207.5,97
"RAC-018-T07",55.5,704.5,13.5,5.5,14.5,8.5,55,10.5,23571.5,30.5
"RAC-018-T08",72,907.5,11,1.5,20,7,70.5,10.5,17458,46.5
"RAC-019-T01",7737,1463,6,0,22,1397,45,6,131,67.5
"RAC-021-T01",1199,19.5,-23,-11,56,471,87,33,139,48.5
"RAC-021-T07",922.5,4408.5,12.5,58.5,16,72,66,19,19163,55
"RAC-021-T08",833,4906,7,12,28,16,84,20.5,8562,101.5
"RAM-001",8965.5,598,35.5,2,13.5,4225.5,3739,6.5,481.5,116.5
"RAM-002",283,21.5,-38,21,76,17,134,19,396,170
"RAM-005",7329,3985,23,1062,17,2303,941,304,84,37
"RAM-007",7133.5,13,14,3,14,4880.5,2146,2,565,26
"RAM-008",8082,1076,14,1,14,2102,45,7,486.5,51
"RAM-009",7427,250,16,2,13,3500,3992,13,1337,1743.5
"RAM-010",8426,4133,13,3,14,1,24.5,4,2093,52
"RAM-011",8616.5,93.5,6.5,1.5,21.5,808,259.5,159.5,1013,50.5
"RAM-012",183,26.5,-14.5,13,47,12,102,6.5,223,106
"RAM-013",7497,15,11,7,16,4330,1116.5,10.5,257,64.5
"RAM-015",2558.5,10,68.5,4,11,5694,5000,3,154.5,763.5
"RAM-016",6626,1006,3,-1,22,1142,46,15,606.5,133
"RAM-017",7807,21,13,2,16,15,73,4,146,47.5
"RAM-018",5064,236.5,19,4,9,4508.5,39,7,463,26
"RAM-019",8445,453,282,3,11,3250,23,3,1701.5,112.5
"RAM-021",5309,751,17,2.5,14,5119,632.5,139,2893.5,977
