"Sample","AMA1_IgG3","pp28_IgG3","Schisto_IgG3","pp65_IgG3","BSA_IgG3","MSP1_IgG3","HRPII_IgG3","CelTos_IgG3","CSP_IgG3","PfGarp_IgG3"
"Background0",0.5,4,17.5,1.5,4.5,3.5,0.5,2.5,1.5,0.5
"HCAM-001",1,5.5,16.5,2,5,3,0,2,3.25,2
"RAC-001-T01",20.5,17.5,9.5,1.5,18.5,8.5,10.5,27.5,24.5,-1.5
"RAC-002-T01",74.5,26,18,5,5,8,7,5,1,1
"RAC-002-T07",10,17,32,4,5,5,4,5,7756,1
"RAC-002-T08",10,16,33,3,6,4,2,74,7181,1
"RAC-005-T01",155,13,18,3,5,668.5,91,17,7,31.5
"RAC-005-T08",3,16.5,17,2,6,8.5,40,3,1433,2
"RAC-007-T01",165,172.5,11,2,12,10,4,67,3,-2
"RAC-007-T07",34,90.5,19,4,6,7,4,17,15002.5,2
"RAC-007-T08",12,22,19,5,6,6,5,48.5,13570,2
"RAC-008-T01",0,6,16,2,6,4,7,2,326,0
"RAC-008-T07",1,5,17,2,6,3,13,3,11548,0
"RAC-008-T08",31,7,18,3.5,4,6,6,4,864,1
"RAC-009-T01",2,8,14,1,8,3,2,9,1,-2
"RAC-009-T07",2,6,17,3,5,3,2,3,4310,1
"RAC-009-T08",1,8,17,3,5,4,1,3,22,0
"RAC-010-T01",7,12,14.5,129,9,7,13,11.5,2,0
"RAC-010-T07",2,5,17,5,6,4,1,6,2528.5,1
"RAC-010-T08",1,6,16,16,5,3,2,5,62,0
"RAC-011-T01",1,5,16,2,6,3,1,6,63,-1
"RAC-011-T07",2,110,18,2.5,5,4,2,4,9997.5,1
"RAC-011-T08",0,237,17,4,5,7,3,5,495.5,0
"RAC-012-T01",2,7,16,3,6,3,2,10,117.5,-0.5
"RAC-012-T07",2,6,17,2,5,4,2,3,2912,1
"RAC-012-T08",2.5,5.5,17,2.5,4.5,4.5,1.5,9.5,243.5,0.5
"RAC-013-T01",17,9,10,1,12,4,5,13,36,0
"RAC-013-T07",3,16,16,1,7,3,1,4,15826,2
"RAC-013-T08",3,23,16,2,6,4,2,4,824,2
"RAC-015-T01",16,62,16,5,6,8,7,8,5,0
"RAC-015-T07",5,341,23,11,7,20,9,16,7235.5,2
"RAC-015-T08",4.5,48,19,6,5,6,4,4,655,2
"RAC-016-T01",2909,9,16,3,6,1495,491,78,53.5,15
"RAC-016-T07",213.5,184,20,7,6,113,36,13,13608,367.5
"RAC-016-T08",87,488,18,6,5,45,15,7,1233,158
"RAC-017-T01",12,70.5,21,5,5,7,14,8,21,1.5
"RAC-017-T07",10,12,19,4,6,8,9,6,4654,7
"RAC-017-T08",136,118,26,15,10,33,51.5,83.5,438,71
"RAC-018-T01",8,16,52,3,5,6,4,3,121,2
"RAC-018-T07",3,8,18,4,5,5,4,7,1390,3
"RAC-018-T08",2,7,17,2,5,4,3,4,691,1
"RAC-019-T01",83.5,45,28,2,7,28,130,5,6,5
"RAC-021-T01",27.5,16,-23,-9,48,5,29,44,19,-30.5
"RAC-021-T07",207.5,320.5,14.5,6,9,24,35.5,65,151,12
"RAC-021-T08",134.5,102.5,19.5,7.5,6.5,20.5,21.5,189,2468.5,4.5
"RAM-001",22.5,14,17,3,7,400,134,6,28,148
"RAM-002",8409,12,18,5,7,1866,7357,7,234,53
"RAM-005",6304,58,38,-1,18,3340,51,-1,240,99.5
"RAM-007",59,10,20,5,6,3448,1517.5,32,104,13
"RAM-008",3,9,18.5,4,4,4,1,3,20,1
"RAM-009",954,346,25,9,6,19,798,70,115,128
"RAM-010",208,117,18,3,7,9003,13192.5,5,451,12
"RAM-011",7,413,16,1,6,6,23,3,852,60
"RAM-012",0,4,16,2,5,2,-1,1,1,0
"RAM-013",263,116.5,20,4,5,10,3722.5,5.5,13,31.5
"RAM-015",8041,96,19,26,6,2,1374,8,258.5,21
"RAM-016",3957,35,17,3,10,126,13509,8.5,375,358.5
"RAM-017",6,73,17,6,7,9,23,10,47,3
"RAM-018",8567.5,111,19,2,6,11,13971,3,7,2
"RAM-019",4751,9,20,2,8,5446.5,10901,5,979,87
"RAM-021",8725.5,25,12,3.5,18,5252.5,11725,24.5,334,56
"healthy-control-negative",3,6,18,2.5,4.5,3.5,1.5,2.5,31,8
