"Sample","AMA1_TotalIgG","pp28_TotalIgG","Schisto_TotalIgG","pp65_TotalIgG","BSA_TotalIgG","MSP1_TotalIgG","HRPII_TotalIgG","CelTos_TotalIgG","CSP_TotalIgG","PfGarp_TotalIgG"
"Background0",21.5,4.25,17.5,1,7,9,1,1.5,27,0
"HCAM-001",351.5,15.5,136,23,78.5,44.5,264,88.25,159,150.5
"Healthy-control-negative",90.75,36,19.5,87,78,31.25,112.5,19.75,235.75,62.75
"RAC-001-T01",2218.5,3225,-8,38,101,449,1234,103,463,113
"RAC-002-T01",4424,4264,29,31,16,305,571,44,229.5,32
"RAC-002-T07",1366,1383,75,411,25,67,276.5,42,14149,56.5
"RAC-002-T08",1192,1926,89,395.5,25,60.5,313.5,304,13081,55
"RAC-005-T01",9225,439,-61.5,27.5,110.5,6907.5,934.5,178.5,154.5,208.5
"RAC-005-T08",2454.5,422,17,54,32,2552,1038.5,50,5745,165
"RAC-007-T01",4800,5263,76,37,35,1075,496,116,144,41
"RAC-007-T07",733,2595,61,25,25,99.5,243,50,13710.5,48
"RAC-007-T08",327.5,1944.5,124,38.5,18.5,57.5,210,169.5,12793,35
"RAC-008-T01",6603.5,671.5,-1,24.5,41.5,315.5,147.5,31,734.5,17.5
"RAC-008-T07",2245.5,229.5,12,161,29,71,270,65,12819.5,36
"RAC-008-T08",1604.5,736,28,348,22,57,293,34,4058,19
"RAC-009-T01",8565,81,14.5,49,91,778.5,4391,101,120,369
"RAC-009-T07",1639.5,115.5,26,85.5,45,88,775,69,13136,108
"RAC-009-T08",601,46,27,59,58,51,482,157,4374,160.5
"RAC-010-T01",5731,270.5,-24.5,387.5,94.5,51,359.5,106.5,276.5,11.5
"RAC-010-T07",680,45,0,99,51,51,167,72,12476,27
"RAC-010-T08",299,48,21,485,46,43,163.5,132,5652,14
"RAC-011-T01",1113,50,-108.5,201,214,-48,148,114,160,-96
"RAC-011-T07",457,2495.5,-9,123,45,81,231,50.5,13913,38
"RAC-011-T08",307.5,3033.5,19,116.5,53.5,94.5,234.5,68.5,6128.5,21.5
"RAC-012-T01",1214.5,73.5,-70.5,230.5,204.5,-33.5,185.5,153.5,185.5,-70.5
"RAC-012-T07",400,21.5,-16,236.5,108,6,168.5,71,11261.5,-13.5
"RAC-012-T08",150,42.5,65,106.5,43,29,230.5,101.5,5020,13
"RAC-013-T01",4788,81,-161,18,241,76,359.5,231.5,569.5,-46
"RAC-013-T07",762.5,2934,-27.5,146.5,99.5,70.5,360.5,207,14497.5,167.5
"RAC-013-T08",382,2766,18.5,73,66,39,301,97,5065,78.5
"RAC-015-T01",2848.5,889,-217.5,497.5,324.5,1510.5,1306.5,413.5,211,101.5
"RAC-015-T07",386,8908,-172,188,230,179.5,413,279.5,11629,51.5
"RAC-015-T08",217,7521.5,-87.5,117.5,139.5,131.5,357,187.5,7934.5,43
"RAC-016-T01",5326,619,3,78,49,8428,1350,278,274,72
"RAC-016-T07",2453,1265,4,207,55,4711,749,84,14448,469
"RAC-016-T08",1504,5137,42,252,31,4118.5,594,227.5,4279,221.5
"RAC-017-T01",2474.5,7119,33,80,32,51.5,164,57,153,87
"RAC-017-T07",345,4684,10,62,31,50,153.5,54,12842.5,73
"RAC-017-T08",813,3413,19,76.5,59,143,380.5,181.5,5636,241
"RAC-018-T01",1409.5,4073,47,68,35,416,206,35,371.5,42
"RAC-018-T07",348,1786.5,19,48,33,74,217,45,13386,41
"RAC-018-T08",219,2676.5,35,34,34,56,244.5,52,10567,47
"RAC-019-T01",9656,3226,81.5,29,27,4784,541.5,38,160.5,19
"RAC-021-T01",2896,397,-76,20.5,142,4592,822,152,254,14
"RAC-021-T07",2818,7044,-17.5,283,87,966,552.5,240,10206.5,345
"RAC-021-T08",2198,7925.5,102,128,48,427,424,392.5,5955,137
"RAM-001",5928,2259,808,29,193.5,6434.5,6047.5,5.5,2456.5,1250
"RAM-002",5465,468,9,5,74,7692,6642.5,72,809.5,249.5
"RAM-005",5763.5,5643,146.5,1668.5,78.5,6188.5,3922.5,392.5,236,219.5
"RAM-007",3342.5,334,40,73,41,6214,7286,79,1836,97
"RAM-008",6916,2394,22,7,55,5122,194.5,21,1668,93
"RAM-009",5863,1624,292,819,47,7176,7884,305,2654.5,5315
"RAM-010",6654.5,7249.5,37,72,88,1082,3778,8,4062,0
"RAM-011",7124.5,484,-17,-2,81,3883,1879.5,509.5,2239,75
"RAM-012",8,5.5,17,2,5,13,5,1,4,0
"RAM-013",5161.5,110.5,-14,-6,92,8029.5,6333,82.5,1395,163
"RAM-015",3076.5,287,893,53.5,31,5755.5,7573,36,861,2690
"RAM-016",6509.5,4549,23.5,39.5,86.5,4715.5,4469.5,198.5,2058,1884
"RAM-017",7041,582.5,245,34,72,268,1387.5,74,785,586.5
"RAM-018",7238.5,1709,26,7,55,8325,5340.5,101,1482,143
"RAM-019",5588.5,2790,2692,7.5,72,4752,2975,33,4670,1469
"RAM-021",2988.5,3102.5,457,24,92,6476,5946,1014.5,5350,4362
