"Sample","AMA1_IgG1","PP28_IgG1","Schisto_IgG1","PP65_IgG1","BSA_IgG1","MSP1_IgG1","HRPII_IgG1","CelTos_IgG1","CSP_IgG1","PfGarp_IgG1"
"Background0",166,21.25,8,9.5,27.5,13.75,-6.75,13.75,198,81.5
"HCAM-001",75,7.5,22,5,10,8.5,1,6.75,67,41.5
"Healthy-control-negative",93,12.5,42.5,6,17.5,9.5,-0.5,8,165.5,62.5
"RCC-002-T01",778.5,10,16,4,18,871,29,18,74,56
"RCC-002-T07",122,25,8,10,25,63,38,26.5,18656,28
"RCC-002-T08",92.5,15,14,6,19,18,35,17,5136,71
"RCC-004-T01",3001,2836,20.5,73.5,12.5,7.5,11.5,7,96.5,51.5
"RCC-004-T07",391,1511,21,11,12,6,16,7.5,19423.5,18
"RCC-004-T08",154,1159,19,6,10,7,20,7,6680.5,32
"RCC-006-T01",93,1606.5,26.5,43,15,8.5,-2,10,108,57.5
"RCC-006-T07",28,1239,34.5,52.5,10,4.5,1,5,18557,21.5
"RCC-006-T08",90,899.5,55.5,108,19,12,1,12,5223,68
"RCC-007-T01",122.5,473.5,21,66,22,6,-3,9,99,41
"RCC-007-T07",32,66,28.5,26,16,5,4,7,20097.5,21
"RCC-007-T08",126.5,35,53,24,17,8,9,12,6215,53
"RCC-008-T01",1231,313.5,7,-5,25,5,-4,20,112,37
"RCC-008-T07",188,41,21,5,14,6,3,6,20655,16
"RCC-008-T08",123.5,27,22,52,14,9,3,9,8254,41
"RCC-009-T01",845,2457.5,28,2,12,4,-2,7,69.5,31
"RCC-009-T07",1231,4953.5,17.5,2.5,13.5,5.5,4.5,10.5,16209.5,30.5
"RCC-009-T08",761.5,3876.5,20.5,6,16,8,3,4,7231,46
"RCC-010-T01",364.5,19.5,11.5,2.5,17.5,13.5,13.5,10.5,113.5,47
"RCC-010-T07",129.5,3.5,7.5,28,21.5,3.5,19.5,14.5,19242,22.5
"RCC-010-T08",116.5,13,13,39,18,9,18,14,4672,51.5
"RCC-011-T01",92,160.5,3,5,29,5,-3,34,87,31
"RCC-011-T07",46.5,32.5,15.5,6.5,13.5,16.5,6.5,9.5,17939,31.5
"RCC-011-T08",69,32,15,24,15,14,2,14,6064,38
"RCC-012-T01",2370,2579,15,24.5,14,1274,2,4.5,62,34
"RCC-012-T07",1600,1762,19,19,12,587,6,5,18261,24
"RCC-012-T08",977,1710,18,17,12,696,2,5,3633,51
"RCC-019-T01",332,718,-42,-28,80,-12.5,-34,51,97.5,1
"RCC-019-T07",107,400,13.5,42,18,6,2.5,16,17158,10
"RCC-019-T08",85,547,14,63.5,17,7,1,76,5451,34
"RCC-020-T01",189,3113.5,-16.5,-4.5,53,0,-10,51,83,10
"RCC-020-T07",42,2329,16,-1,15,4,4,9,18186,12
"RCC-020-T08",95,2522,17,8,16,7,6,15,6337.5,42
"RCC-022-T01",70.5,2723,16,3,11,19,2,9,76,36
"RCC-022-T06",35.5,1617,19.5,24.5,11.5,13.5,4.5,9,19823,34.5
"RCC-022-T08",192,16,20,32.5,12,10,1,11,4243,62.5
"RCC-023-T01",77,206,19,1,10,3,2,4,49,26
"RCC-023-T06",24,76,19,28,10,5,3,4,16739.5,21
"RCC-023-T08",65.5,185.5,22.5,22,11.5,11.5,5.5,12,7558,45.5
"RCC-024-T01",438.5,1782,23,55,10,7,7,5,54.5,31
"RCC-024-T07",453,2796.5,19.5,25.5,10.5,11,17.5,6.5,19407.5,26.5
"RCC-024-T08",248,1656.5,52.5,12,16,9,22,9,6301,59
"RCC-025-T01",137.5,186.5,4,0,46,0,-13.5,49,80.5,16
"RCC-025-T07",46,54,19,12,14,5.5,5,6,19252,21
"RCC-025-T08",96,116,20,16.5,15,10,6,11,7280,45
"RCC-026-T01",104,2881.5,-1,38,33,3,-1,36,70,20
"RCC-026-T07",89,12,16,31,18,15,3,96,16590.5,64
"RCC-026-T08",123.5,2352.5,14,122.5,18,17,38,26,7731,75
"RCC-029-T01",78.5,12,10,12,15,7,-0.5,29,174,42
"RCC-029-T07",96,1824,1,107,32,18,44,32,18542.5,67
"RCC-029-T08",75,12,14,33.5,15,13,18,56.5,6641,66
"RCC-031-T01",2870.5,1014.5,11,4.5,21,20,-2,17,157,50
"RCC-031-T07",450.5,79,19,16,10,10,5,7,17920.5,32
"RCC-031-T08",346,105.5,15,36.5,16,8,3,7,6281,69
"RCC-034-T01",5118.5,1405,14.5,3.5,14.5,12.5,2.5,9.5,123.5,72.5
"RCC-034-T07",11287,1843,25.5,11,10,45,70,9,16826.5,79
"RCC-034-T08",620,752,21,17,13,16.5,16,13,9277.5,62.5
"RCM-002",2369,53,20.5,6,12,3869,493,9.5,123.5,1309
"RCM-004",3661,8,16,3,13,9,-3,6,120,48
"RCM-006",2899.5,1014,15,3,15,938,2,761.5,930,1754
"RCM-008",5713,-2.5,-14,4.5,49,951,18,-13,2825.5,58
"RCM-009",1224,10,18.5,3,6,9,1,3,55.5,16
"RCM-010",4336.5,116,16,49,16,42,-2,8,502.5,49
"RCM-011",1719,83,310,5,12,1771,30.5,39,868,46
"RCM-012",4450,29,14,2,13,1319,117,22,147,53
"RCM-019",3661,187,19,8,12,235,3,10.5,127,52
