"Sample","AMA1_IgG3","PP28_IgG3","Schisto_IgG3","PP65_IgG3","BSA_IgG3","MSP1_IgG3","HRPII_IgG3","CelTos_IgG3","CSP_IgG3","PfGarp_IgG3"
"Background0",-0.5,4.5,14.75,1.5,4.5,2.5,-0.5,1.5,0.5,-0.25
"HCAM-001",0.5,5,16,2,6,4,0,2.5,1.5,1.5
"Healthy-control-negative",2.75,5.5,15.75,2.25,4.5,3.5,0.5,2.25,27.5,7.5
"RCC-002-T01",82,12,17,5,5,7,3,5,10,1
"RCC-002-T07",38,15,14,6,8,9,4,12,11285,7
"RCC-002-T08",10,37,15,10,6,26,8,15,632.5,5
"RCC-004-T01",18,9,3612.5,4,5,11,3,7,15,1
"RCC-004-T07",14,13,7021,4,5,7,7,7,3134,2
"RCC-004-T08",5,12,1984,5,5,8,8.5,7,122,1
"RCC-006-T01",3,99,25,5.5,5,9,3,11,9,32.5
"RCC-006-T07",9,6607,36,6,7,6,1,6,14128.5,4
"RCC-006-T08",10,5118,25,7,6,8.5,2,6,1903,3
"RCC-007-T01",8,100,185.5,4,5,8,2,6,3,1
"RCC-007-T07",5,17,55,7,7,6,0,6,5528.5,0
"RCC-007-T08",77.5,17,27,3,6,6,1,3,116.5,0
"RCC-008-T01",60,13,30,2,5,7,0,3,2,0
"RCC-008-T07",7,22,29,2,5,5,0,3,1334.5,1
"RCC-008-T08",5,15,19,3,5,5,0,4,41,1
"RCC-009-T01",62,3.5,19,0,13,2,0,10,0,-5
"RCC-009-T07",28,7,32,2,6,4,0,3,5456,0
"RCC-009-T08",13.5,4.5,25.5,3.5,5.5,5.5,1.5,3.5,222,0.5
"RCC-010-T01",3,7,87.5,3,5,6,8,4,7,1
"RCC-010-T07",3,6,39,5,5,5,8,3,9113.5,3
"RCC-010-T08",4,8,32,6,4,9,7.5,6,461,2
"RCC-011-T01",8,148,16,3,8,9,5,10,2,-1
"RCC-011-T07",3,20,21,5,6,8,2,9,18960,4
"RCC-011-T08",2,19,17,3,6,6,3,16,2161,3
"RCC-012-T01",422,96,16,2,7,94,3,5,1,-1
"RCC-012-T07",161,33,15,3,6,12,4,3,15489,2
"RCC-012-T08",157,40.5,18,4,4,10,3,4,1543,2
"RCC-019-T01",528,63,256,-8,38,4,4.5,26,7,-19
"RCC-019-T07",266.5,30,381.5,3,8,5,4,5,17521,1
"RCC-019-T08",184.5,33,188.5,5,6,5,4,18,1541,3
"RCC-020-T01",10.5,95.5,107.5,1.5,8.5,4.5,1.5,6.5,4.5,-1.5
"RCC-020-T07",13,16,556,2,6,4,2,3,7117,1
"RCC-020-T08",4,10,114,2,5,4,1,3,413.5,0
"RCC-022-T01",4.5,204.5,16.5,3.5,4.5,5.5,5.5,8.5,4.5,5.5
"RCC-022-T06",4,547,15.5,2,6,6,1,8,8885,2
"RCC-022-T08",0,5,14,2,5,3,0,2,335.5,0
"RCC-023-T01",3,1076.5,17,3,4,5,4,4,8,1
"RCC-023-T06",2,456,42,2,6,4,3,3,18053,2
"RCC-023-T08",2,338,29,2,5,4,2,2,1187,1
"RCC-024-T01",8,63,46,6,4,17,6,8,6,2
"RCC-024-T07",8,9,20,3,8,6,4,3,12380,2
"RCC-024-T08",2,5,17,3,5,4,2,2,413,1
"RCC-025-T01",10,322,6064,4,10,9,4,16,4,0.5
"RCC-025-T07",2,108,1298,3,5,5,3,3,9192,1.5
"RCC-025-T08",1,140,529,3,5,4,3.5,3,682,1
"RCC-026-T01",4,30,221,6,5,9,3,10,19.5,1
"RCC-026-T07",4,5,15,4,8,4,1,295,21753,2
"RCC-026-T08",9,22,27,10,5,20.5,6,17,396.5,3
"RCC-029-T01",5.5,8.5,13.5,5.5,6.5,6.5,5.5,16.5,98.5,0.5
"RCC-029-T07",2,9,27,4,5,7,3,5,8962,2
"RCC-029-T08",6,10,23,5.5,5,9,3,108,4800,5
"RCC-031-T01",63.5,181,18,4,6,8,4,5,4,1
"RCC-031-T07",248.5,242.5,16.5,2.5,10.5,5.5,2.5,5.5,19426.5,3.5
"RCC-031-T08",132,307,17,3,8,6,2,5,1904,2
"RCC-034-T01",4,53,11,1,8,6,-2,1,-1,-2
"RCC-034-T07",23221,18,34,7,13,589,28737.5,11,3500,21
"RCC-034-T08",5,10,13,8,8,8,2,7,126,6
"RCM-002",7333,173,20,2,8,62,614,6,10,17
"RCM-004",1769,35.5,16,2,10,3022.5,216.5,5,16,4
"RCM-006",631,14,41,6,8,86,11952,7,815.5,15
"RCM-008",109,7,14,2,6,4884.5,42,3,110.5,2
"RCM-009",31.5,13.5,21.5,5.5,9.5,10.5,2.5,7.5,159.5,29.5
"RCM-010",2546.5,12,31,6,8,9375,9996,15,1866,20
"RCM-011",1080,194,56.5,5,8,26,1180.5,558,1838,59
"RCM-012",85,49.5,14,2,8,10.5,22,11,320,71.5
"RCM-019",1279,1380.5,21,2,8,8839,5099,3,168,25
"RCM-020",1152.5,15,18,2,5,91,11,64,133,10
"RCM-022",2.5,6,16,2,5,4,5,4,43,1
"RCM-023",3,8,17,3,5,5,900.5,3,17,3
"RCM-024",634.5,6,23.5,3,5,390.5,205,3,591,3
"RCM-025",3,6,15.5,3,5,6,26,2,76.5,4
"RCM-026",34,13,22.5,4,7,6844.5,5605.5,3,21,7
"RCM-029",1270.5,8,27,4,8,54,13088,4,261,197
"RCM-031",5418,10,23.5,3,7,15206,3584,3,34,11
"RCM-034",1,7,16,3,5,48,17,9,32,8
