"Sample","AMA1_TotalIgG","PP28_TotalIgG","Schisto_TotalIgG","PP65_TotalIgG","BSA_TotalIgG","MSP1_TotalIgG","HRPII_TotalIgG","CelTos_TotalIgG","CSP_TotalIgG","PfGarp_TotalIgG"
"Background0",6.25,5.5,18,2.5,4.5,9,0.5,2,101.5,1
"HCAM-001",398,22.5,186,30.5,89,62.5,199.5,114,247,228.25
"Healthy-control-negative",148.75,39,106,89.25,77.5,50,40.5,30,336.5,117.5
"RCC-002-T01",5421,189,57.5,60,54,8224,411,97,214,437
"RCC-002-T07",1630,584.5,-82,254,163,1708.5,441,347,30687,317.5
"RCC-002-T08",808.5,488.5,108,104,42,709,295,107,9301,162
"RCC-004-T01",10735,10089,2839,493.5,20,98,199,47,88,22
"RCC-004-T07",2696,6998.5,3154.5,174,25,57,236,124,31463.5,50
"RCC-004-T08",1037.5,4617,716,114,23,89,245,107,10861,55
"RCC-006-T01",311,6478,128.5,214.5,35,35,41,81,88.5,119
"RCC-006-T07",131,8854,135,367,41,32,81,43,30545,55
"RCC-006-T08",98,6676,299,474,46,84,86,70,10519.5,56
"RCC-007-T01",525,3656.5,286.5,397.5,56,20,73,80,72,36
"RCC-007-T07",167,943,207,200.5,60,32,137,62,31449,65.5
"RCC-007-T08",403,591,292,183,49,51,142.5,64,8818,62
"RCC-008-T01",5958,1970,31,-5,76,72,55.5,66,56,-5
"RCC-008-T07",1820,622,69.5,86.5,55.5,218.5,117,70.5,29889.5,44.5
"RCC-008-T08",1091,582.5,77.5,300.5,45,266,137,71,12801.5,59
"RCC-009-T01",4286,9280,94,-8,81,-3,20,30,80.5,-13
"RCC-009-T07",5241.5,15414,20.5,71,101,92.5,116,557,28710.5,224
"RCC-009-T08",4195,12886.5,82.5,46,53,67,108,214,9205,45.5
"RCC-010-T01",3057,109,28,50,52,166,291,43,69.5,48
"RCC-010-T07",1252.5,57,-23.5,274,77,97.5,302,200,31183,67
"RCC-010-T08",765.5,128.5,-2.5,362,58.5,98.5,309,104.5,8986.5,60.5
"RCC-011-T01",398.5,2314,94,141,91,137.5,89,159.5,127,-13
"RCC-011-T07",104,895.5,35,57,56,319.5,107,56,27741.5,26
