"Sample","AMA1_TotalIgG","pp28_TotalIgG","Schisto_TotalIgG","pp65_TotalIgG","BSA_TotalIgG","MSP1_TotalIgG","HRPII_TotalIgG","CelTos_TotalIgG","CSP_TotalIgG","PfGarp_TotalIgG"
"Background0",11.75,4.5,16.5,1.5,5.5,9.5,1,1.5,4.5,0.5
"Empty",13,5.5,16.5,2,5,10,1,1,6,1
"HCAM-001",212,8.75,161,14.75,62.5,47,156.5,64.5,138.75,126.25
"Healthy-control-negative",78.5,8,54,19,77,33.5,82,9,181,74
"RAC-001-T01",792,1454,39,64,41,228.5,323,103,142,55
"RAC-001-T06",366.5,944,0,49,45,81,227.5,94.5,17812.5,103
"RAC-001-T08",145,365.5,30.5,40.5,36,57.5,192,70,16260,89.5
"RAC-005-T01",13802,391,9.5,76,55,9235.5,473.5,183,170,155
"RAC-005-T06",2449,146,18,20,20,1764,478,21.5,26651,46
"RAC-005-T08",1755,263.5,29,33.5,20,1653,420,36,16327,98
"RAC-006-T01",321.5,47.5,238.5,69,15.5,629,466.5,21.5,195,15.5
"RAC-006-T06",176.5,48,70,33,23,144,205,63.5,27373,49
"RAC-006-T08",76,29,55,21,16,142.5,138,30,16788,24
"RAM-001",17926,2153,645.5,189,243,11057,8052,215,2105.5,941.5
"RAM-005",22683.5,3688,133.5,1773,45,14211,2151.5,893,157.5,102.5
"RAM-006",9406,303.5,10148,37,42,16026,13330.5,81.5,5308.5,155
"RAM-012",16516.5,1044.5,45.5,6.5,50.5,79.5,7357.5,9.5,1237.5,67.5
"RCC-037-01",229,6854.5,125.5,124,34,211.5,442,151.5,63,79
"RCC-037-T07",144,4131,56,32,28,87,471.5,82,32559.5,56
"RCC-037-T08",162.5,4873.5,59,56.5,42.5,120.5,519,132.5,18529.5,156.5
"RCC-040-T01",4076.5,114,28,22,21,786,2167,23,61,44.5
"RCC-040-T07",903,161,13,52,34,209.5,819,52,31776,53.5
"RCC-040-T08",535.5,250,37,101,42,198,709,106,17361.5,92.5
"RCC-042-T01",4085.5,7374,208,77.5,61.5,127.5,428.5,140.5,134,62.5
"RCC-042-T07",3127,7941,65,89,41,13259.5,1407,140,26621.5,301
"RCC-042-T08",4017,6489,129.5,128,44,15063,1902,157,20087,173.5
"RCC-043-T01",10427.5,123.5,148.5,68,28.5,94,490.5,47.5,173.5,23.5
"RCC-043-T07",1233,61.5,39,38,21,56,398.5,2413.5,30388,47.5
"RCC-045-T01",623,11811.5,41,22,46,117.5,250,70,23,8
"RCC-045-T07",203,5273,74,122,46,124,370.5,94,29726,83.5
"RCC-045-T08",106,3425.5,73,60,36,68,262,43.5,20524,54
"RCC-046-T01",7126,106.5,23.5,22,14,9838,600,47,773,1293.5
"RCC-046-T07",5435,229.5,38,86,23,7403,510,57,31405,4398.5
"RCC-046-T08",1711.5,177,29,64.5,22,2754.5,412,59,19677,1449.5
"RCC-047-T01",172,49,7,51,22,29,131.5,21,23,10
"RCC-047-T07",178,81,9,25,31,48,136,54,30434.5,28
"RCC-047-T08",120,107,20,41,30,62,206,56,18062,36
"RCC-049-T01",1314,1232.5,7,30,45,46,198,66,39,68
"RCC-049-T07",327,991,28,105,50,55,214,54,27031,66
"RCC-049-T08",168.5,1064.5,34.5,78.5,50.5,72.5,240.5,69.5,18304,59.5
"RCC-050-T01",6004,106,42,22,20,148,216,27,248,17
"RCC-050-T07",682.5,70,20,78.5,21,48,218,2392,29539.5,26
"RCC-050-T08",400,147.5,46,127,26,93,215,23208,19493,66
"RCC-051-T01",95,4005,71,84,31,171.5,128.5,110,133.5,48
"RCC-051-T07",99.5,956.5,38.5,100.5,39.5,135.5,207,194,30413,113.5
"RCC-051-T08",120.5,859,88.5,53.5,25.5,71.5,124.5,76,17917.5,80.5
"RCC-052-T01",155,940,87,26.5,88,37,212,84,56,-8.5
"RCC-052-T07",154,1955,126,65,41,74,213.5,81,27094.5,64
"RCC-052-T08",81,1518,121,41,33,40,169,54,19751,50
"RCC-053-T01",4556,2571.5,122,22,12,36.5,101,28,36,22
"RCC-053-T07",1818.5,2548,79,91,24,94,349,106,29011.5,71.5
"RCC-053-T08",1634,3527,75.5,62.5,18,57,312,56,15236,53
"RCC-056-T01",209,2084,45,33,13,73,278,43,42,24
"RCC-056-T07",208.5,1901,40,93,37,69,397.5,85,27735.5,75
"RCC-056-T08",156.5,1547,45,71,29,62,271,67,18752,61.5
"RCC-058-T01",1547,2784,-12,-21.5,150,810.5,832,146,133.5,-33
"RCC-058-T07",284,2474,69,33,39,136,375.5,60,26726,50
"RCC-058-T08",199,2281,78.5,36.5,41.5,110.5,446.5,65.5,17604.5,48
"RCC-059-T01",1479.5,618.5,76,16,38,22,308,37.5,67,-7
"RCC-059-T07",304,364,51,97,24,35,227.5,25,28344,35.5
"RCC-059-T08",186,486,76,115,30,69,267.5,59,18856,54
"RCC-060-T01",155.5,61.5,-10.5,0.5,54.5,10,201.5,42,108.5,-20
"RCC-060-T07",83,60,7,37,31,35,125,25.5,26151,13
"RCC-060-T08",190,115,-72.5,62,119,79,308,140,12931.5,138
"RCM-037",4880,1877,1905,76,176,202,812.5,176,696,218
"RCM-040",19758,6927,71,146,60,12922.5,9349.5,7724,2335,14298
"RCM-042",21990,1652,60.5,98.5,81.5,1297,1346.5,109.5,486,70
"RCM-043",20356,1404,1756,29.5,108,3424.5,5853.5,139.5,371,208
"RCM-043-T08",678,87,42,67.5,30,106,431,1436,18403.5,61
"RCM-045",14035,138,18,41,52,1484,706,75,397,85
"RCM-046",21150,354,-22,51,100,17272,18393,212,515,2076.5
"RCM-047",4062,1069,3,98,61,463,2173.5,207.5,321,137.5
"RCM-049",21522,2342,664,46,51,86,2981.5,62.5,198,80
"RCM-050",22106,1210.5,714,13,97,2305,3832.5,87,823,105
"RCM-052",3836,344,-32,50,73,2978.5,693,133.5,599,117
"RCM-053",24037,628,58,151,104,517.5,601.5,266.5,587,410.5
"RCM-056",4377,6242,203.5,121,49,247,427,150,509.5,132
"RCM-058",22531.5,182.5,50.5,166.5,47.5,21567.5,16409.5,86,2953,104.5
"RCM-059",16320,1109.5,18,51,43,189,4276,45,3937,132
"RCM-060",2536.5,3457,90.5,71,44,110,448,96.5,40,73
