"Location","Sample","Antigen","Plate"
"5(1,E1)","African-Mix-Standard04","CSP","RTSS_Chul.(SET1)_TotalIgG_3.23.24_JN"
"11(1,C2)","African-Mix-Standard02","CSP","RTSS_Chul.(SET1)_TotalIgG_3.23.24_JN"
"22(1,F3)","RCC-002-T08","AMA1","RTSS_Chul.(SET1)_TotalIgG_3.23.24_JN"
"22(1,F3)","RCC-002-T08","PfGarp","RTSS_Chul.(SET1)_TotalIgG_3.23.24_JN"
"37(1,E5)","RCC-008-T08","AMA1","RTSS_Chul.(SET1)_TotalIgG_3.23.24_JN"
"56(1,H7)","RCC-019-T07","AMA1","RTSS_Chul.(SET1)_TotalIgG_3.23.24_JN"
"56(1,H7)","RCC-019-T07","PP28","RTSS_Chul.(SET1)_TotalIgG_3.23.24_JN"
"56(1,H7)","RCC-019-T07","BSA","RTSS_Chul.(SET1)_TotalIgG_3.23.24_JN"
"56(1,H7)","RCC-019-T07","MSP1","RTSS_Chul.(SET1)_TotalIgG_3.23.24_JN"
"56(1,H7)","RCC-019-T07","HRPII","RTSS_Chul.(SET1)_TotalIgG_3.23.24_JN"
"56(1,H7)","RCC-019-T07","CSP","RTSS_Chul.(SET1)_TotalIgG_3.23.24_JN"
"80(1,H10)","RCC-026-T01","AMA1","RTSS_Chul.(SET1)_TotalIgG_3.23.24_JN"
"80(1,H10)","RCC-026-T01","PP28","RTSS_Chul.(SET1)_TotalIgG_3.23.24_JN"
"80(1,H10)","RCC-026-T01","Schisto","RTSS_Chul.(SET1)_TotalIgG_3.23.24_JN"
"80(1,H10)","RCC-026-T01","CSP","RTSS_Chul.(SET1)_TotalIgG_3.23.24_JN"
