"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","3/25/2024","11:16 AM"

"SN","MAGPX15265701"
"Batch","Chul.(SET2)_RTSS_25_Mar_2024_IgG1_MK"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Chul.(SET2)_RTSS_25_Mar_2024_TotalIgG_AM"
"ProtocolVersion","3"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","100 uL"
"SampleWash","Off"
"BatchStartTime","3/25/2024 11:24:17 AM"
"BatchStopTime","3/25/2024 12:36:43 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","fisherband #125665501","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","10"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 3/25/2024 7:33:23 AM"
"Last VER Verification","Passed 3/25/2024 7:34:26 AM"
"Last Fluidics Test","Passed 3/25/2024 7:35:45 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"C03633","8/29/2025","3/25/2024 7:33:23 AM","27.1","27.1","27.1","27.1","203","220","397","397","0.00705","0.00704","0.00391","0.11537","Pass","MAGPX15265701"


"Samples","88","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","AMA1","pp28","Schisto","pp65","BSA","MSP1","HRPII","CelTos","CSP","PfGarp","Total Events"
"1(1,A1)","Background0","388","40","38","33","25","32.5","46","49","285.5","147","997"
"2(1,B1)","African-Mix-Standard01","5675","685.5","41","21","17","551","90.5","36","3","193","753"
"3(1,C1)","African-Mix-Standard02","3777","246.5","38","17","18","179","70","37","234","167","1176"
"4(1,D1)","African-Mix-Standard03","2037","112","41","25","23","73","58","49","356","182","961"
"5(1,E1)","African-Mix-Standard04","1016","57","39","29","24","40","53","47","368","154","1147"
"6(1,F1)","African-Mix-Standard05","645.5","47","38","29","27","36","50.5","56","388","182.5","1158"
"7(1,G1)","African-Mix-Standard06","464.5","38","37","30","22","33","50","50","442","171.5","1240"
"8(1,H1)","African-Mix-Standard07","502","49.5","50","40","32","41","60","66","365","180.5","1285"
"9(1,A2)","Background0","477.5","43.5","41","37","28","34","52","50","529","179","1124"
"10(1,B2)","African-Mix-Standard01","6956","621","38","19","15","515.5","108","32","338.5","240","1141"
"11(1,C2)","African-Mix-Standard02","4168","242","38","25","20","168","73.5","37","201","167.5","814"
"12(1,D2)","African-Mix-Standard03","2013","89.5","36","22","17","64","48","33","347","155.5","1130"
"13(1,E2)","African-Mix-Standard04","1035.5","44","34","24","19","33","42","37","455.5","148","1110"
"14(1,F2)","African-Mix-Standard05","624","44.5","41","30","23","31.5","49","46","395","169","1191"
"15(1,G2)","African-Mix-Standard06","502","49.5","40","33","27.5","39","56","55","410","180.5","1187"
"16(1,H2)","African-Mix-Standard07","430.5","44","40","33.5","26","31","54","58","420","181","1194"
"17(1,A3)","Healthy-control-negative","741.5","92.5","89","68","52.5","72","95","103","609.5","343","736"
"18(1,B3)","Healthy-control-negative","262","25","38","24","18","27","27","34","320","107","1080"
"19(1,C3)","RCM-037","2448.5","797","479","23","19","35","39.5","33","439","71","1028"
